1281,000AAAA,2843,10.114.4.0,255.255.252.0
1,000NSA,2933,10.24.192.0,255.255.240.0
2,000NSD,3455,10.102.48.0,255.255.240.0
3,000NSE,5334,10.102.208.0,255.255.240.0
4,00B000,2843,10.99.144.0,255.255.240.0
5,00B000A,2843,10.115.248.0,255.255.252.0
1256,00B000C,2843,10.112.228.0,255.255.252.0
6,00B001,2843,10.98.128.0,255.255.240.0
1432,00B002,2843,10.94.32.0,255.255.240.0
1433,00B004,2843,10.202.32.0,255.255.240.0
7,00B123,2843,10.157.96.0,255.255.240.0
1305,00B427BB,0,10.114.108.0,255.255.252.0
9,00BATM,2843,10.42.144.0,255.255.240.0
10,00BSHA,2835,10.107.112.0,255.255.240.0
12,00BSNA,2843,10.99.192.0,255.255.240.0
1257,00BSNAC,2843,10.112.244.0,255.255.252.0
13,00BSNB,2843,10.33.80.0,255.255.240.0
1377,00L001,3399,10.191.112.0,255.255.240.0
14,00M001,3631,10.41.16.0,255.255.240.0
15,00MSHA,125,10.107.96.0,255.255.240.0
16,00Q0VB,4433,10.223.0.0,255.255.240.0
17,00QCCA,4573,10.107.32.0,255.255.240.0
18,00XSHA,5219,10.107.128.0,255.255.240.0
19,01M015,3414,10.201.16.0,255.255.240.0
20,01M019,3416,10.201.32.0,255.255.240.0
21,01M020,3417,10.201.48.0,255.255.240.0
22,01M034,3424,10.201.96.0,255.255.240.0
23,01M056,3439,10.201.112.0,255.255.240.0
957,01M061,3444,10.102.32.0,255.255.240.0
24,01M063,3445,10.201.160.0,255.255.240.0
25,01M064,3446,10.201.176.0,255.255.240.0
26,01M110,3473,10.201.208.0,255.255.240.0
27,01M134,3492,10.201.224.0,255.255.240.0
28,01M137,3494,10.201.0.0,255.255.240.0
29,01M140,3495,10.202.0.0,255.255.240.0
30,01M142,3496,10.202.16.0,255.255.240.0
31,02M001,3402,10.202.96.0,255.255.240.0
32,02M002,3403,10.202.112.0,255.255.240.0
33,02M003,3404,10.202.128.0,255.255.240.0
34,02M006,3407,10.202.144.0,255.255.240.0
35,02M011,3412,10.202.160.0,255.255.240.0
36,02M033,3423,10.202.192.0,255.255.240.0
37,02M040,3426,10.202.208.0,255.255.240.0
38,02M041,3427,10.202.224.0,255.255.240.0
39,02M042,3428,10.203.0.0,255.255.240.0
40,02M051,3436,10.203.16.0,255.255.240.0
41,02M089,3460,10.100.48.0,255.255.240.0
42,02M104,3469,10.203.64.0,255.255.240.0
43,02M111,3474,10.203.80.0,255.255.240.0
44,02M114,1632,10.62.64.0,255.255.240.0
45,02M116,3478,10.203.96.0,255.255.240.0
46,02M124,3483,10.203.112.0,255.255.240.0
47,02M126,3485,10.203.128.0,255.255.240.0
48,02M130,3488,10.203.144.0,255.255.240.0
49,02M131,3489,10.203.160.0,255.255.240.0
50,02M150,3617,10.203.176.0,255.255.240.0
51,02M158,3507,10.203.192.0,255.255.240.0
52,02M167,3513,10.203.208.0,255.255.240.0
53,02M183,3524,10.203.224.0,255.255.240.0
54,02M198,3535,10.204.0.0,255.255.240.0
55,02M217,3551,10.204.16.0,255.255.240.0
56,02M234,3550,10.204.32.0,255.255.240.0
1386,02M260,5530,10.61.96.0,255.255.240.0
57,02M267,1358,10.63.160.0,255.255.240.0
58,02M276,1361,10.62.192.0,255.255.240.0
1415,02M281,1372,10.154.64.0,255.255.240.0
59,02M282,1363,10.63.0.0,255.255.240.0
60,02M290,3529,10.204.48.0,255.255.240.0
1420,02M338,607,10.155.192.0,255.255.240.0
62,02M413,3590,10.204.96.0,255.255.240.0
